1,BillGates
2,SteveMartinToGo
3,badbanana
4,sbkaufman
5,swissmiss
6,danielpink
7,JustinWolfers
8,brainpicker
9,hunterwalk
10,danariely
11,chr1sa
12,ayahbdeir
13,elonmusk
14,neiltyson
15,sciencegoddess
16,afromusing
17,tedtalks
18,NASA
19,DARPA
20,melindagates
21,briansolis
22,CERN
23,DeepakChopra
24,MITnews
25,VICE
26,bbcworld
27,NYTimes
28,eddieizzard
29,stephenfry
30,krishgm
31,narendramodi
32,iamsrk
33,SrBachchan
